	0
AC107214.2	AC107214.2
RWDD4	RWDD4
TRAPPC11	TRAPPC11
AC108477.1	AC108477.1
STOX2	STOX2
ENPP6	ENPP6
LINC02363	LINC02363
LINC02362	LINC02362
IRF2	IRF2
LINC02427	LINC02427
LINC02365	LINC02365
CASP3	CASP3
PRIMPOL	PRIMPOL
CENPU	CENPU
ACSL1	ACSL1
AC084871.2	AC084871.2
MIR3945HG	MIR3945HG
LINC01093	LINC01093
LINC02437	LINC02437
HELT	HELT
LINC02436	LINC02436
SLC25A4	SLC25A4
CFAP97	CFAP97
SNX25	SNX25
LRP2BP	LRP2BP
AC112722.1	AC112722.1
ANKRD37	ANKRD37
UFSP2	UFSP2
C4orf47	C4orf47
CCDC110	CCDC110
AC106897.1	AC106897.1
PDLIM3	PDLIM3
SORBS2	SORBS2
AC093797.1	AC093797.1
AC108472.1	AC108472.1
AC096659.1	AC096659.1
TLR3	TLR3
FAM149A	FAM149A
CYP4V2	CYP4V2
KLKB1	KLKB1
F11	F11
F11-AS1	F11-AS1
AC018709.1	AC018709.1
MTNR1A	MTNR1A
FAT1	FAT1
AC108865.1	AC108865.1
AC108865.2	AC108865.2
AC110772.1	AC110772.1
AC108474.1	AC108474.1
LINC02374	LINC02374
AC097652.1	AC097652.1
LINC02514	LINC02514
LINC02515	LINC02515
AC093763.1	AC093763.1
LINC02492	LINC02492
AC097521.1	AC097521.1
ZFP42	ZFP42
TRIML2	TRIML2
TRIML1	TRIML1
AC138781.1	AC138781.1
LINC02434	LINC02434
LINC01060	LINC01060
AC093909.2	AC093909.2
LINC02508	LINC02508
AC093909.4	AC093909.4
AC122138.1	AC122138.1
AC107391.1	AC107391.1
AC105924.1	AC105924.1
LINC01262	LINC01262
AF250324.1	AF250324.1
FRG1-DT	FRG1-DT
LINC01596	LINC01596
FRG1	FRG1
FRG2	FRG2
DBET	DBET
DUX4	DUX4
PLEKHG4B	PLEKHG4B
LRRC14B	LRRC14B
CCDC127	CCDC127
SDHA	SDHA
AC021087.1	AC021087.1
PDCD6	PDCD6
AHRR	AHRR
EXOC3-AS1	EXOC3-AS1
EXOC3	EXOC3
SLC9A3	SLC9A3
AC106772.2	AC106772.2
AC106772.1	AC106772.1
CEP72	CEP72
TPPP	TPPP
AC026740.1	AC026740.1
ZDHHC11B	ZDHHC11B
ZDHHC11	ZDHHC11
BRD9	BRD9
TRIP13	TRIP13
AC122719.1	AC122719.1
AC122719.2	AC122719.2
AC116351.1	AC116351.1
AC116351.2	AC116351.2
NKD2	NKD2
SLC12A7	SLC12A7
AC114291.1	AC114291.1
SLC6A19	SLC6A19
SLC6A18	SLC6A18
TERT	TERT
CLPTM1L	CLPTM1L
LINC01511	LINC01511
SLC6A3	SLC6A3
LPCAT1	LPCAT1
AC091849.2	AC091849.2
AC026412.3	AC026412.3
AC112176.1	AC112176.1
MRPL36	MRPL36
NDUFS6	NDUFS6
AC025183.3	AC025183.3
LINC02116	LINC02116
IRX4	IRX4
AC025183.1	AC025183.1
AC025183.2	AC025183.2
AC126768.2	AC126768.2
AC126768.1	AC126768.1
AC126768.3	AC126768.3
AC091891.2	AC091891.2
AC091891.1	AC091891.1
IRX2	IRX2
C5orf38	C5orf38
AC094105.1	AC094105.1
AC112192.1	AC112192.1
AC091832.1	AC091832.1
LINC01019	LINC01019
LINC02162	LINC02162
LINC01017	LINC01017
IRX1	IRX1
AC016595.1	AC016595.1
AC025773.1	AC025773.1
AC025187.1	AC025187.1
LINC02063	LINC02063
AC106799.3	AC106799.3
AC106799.2	AC106799.2
AC106799.1	AC106799.1
AC010634.1	AC010634.1
LINC02114	LINC02114
AC026719.1	AC026719.1
AC026719.2	AC026719.2
AC026415.1	AC026415.1
AC010451.3	AC010451.3
AC010451.1	AC010451.1
LINC01020	LINC01020
AC010451.2	AC010451.2
LINC02121	LINC02121
AC022424.1	AC022424.1
ADAMTS16	ADAMTS16
AC022424.2	AC022424.2
ICE1	ICE1
AC010266.2	AC010266.2
AC010266.1	AC010266.1
LINC02145	LINC02145
MED10	MED10
UBE2QL1	UBE2QL1
LINC01018	LINC01018
NSUN2	NSUN2
SRD5A1	SRD5A1
LINC02102	LINC02102
TENT4A	TENT4A
AC122710.2	AC122710.2
AC122710.3	AC122710.3
LINC02236	LINC02236
AC122710.1	AC122710.1
LINC02196	LINC02196
AC091951.4	AC091951.4
AC027343.3	AC027343.3
LINC02123	LINC02123
AC027343.1	AC027343.1
AC027343.2	AC027343.2
LINC02142	LINC02142
ADCY2	ADCY2
AC093305.1	AC093305.1
C5orf49	C5orf49
MTRR	MTRR
FASTKD3	FASTKD3
AC025174.1	AC025174.1
LINC02226	LINC02226
AC091965.1	AC091965.1
AC091965.4	AC091965.4
MIR4458HG	MIR4458HG
AC027328.1	AC027328.1
AC091932.1	AC091932.1
LINC02199	LINC02199
AC021088.1	AC021088.1
SEMA5A	SEMA5A
AC091906.1	AC091906.1
SEMA5A-AS1	SEMA5A-AS1
SNHG18	SNHG18
TAS2R1	TAS2R1
LINC02112	LINC02112
LINC02221	LINC02221
AC034229.1	AC034229.1
AC034229.2	AC034229.2
AC034229.3	AC034229.3
AC034229.4	AC034229.4
FAM173B	FAM173B
AC012640.1	AC012640.1
CCT5	CCT5
AC012640.4	AC012640.4
AC012640.3	AC012640.3
CMBL	CMBL
AC012640.2	AC012640.2
MARCH6	MARCH6
ROPN1L-AS1	ROPN1L-AS1
ROPN1L	ROPN1L
LINC01513	LINC01513
AC092336.1	AC092336.1
LINC02212	LINC02212
LINC02213	LINC02213
ANKRD33B	ANKRD33B
ANKRD33B-AS1	ANKRD33B-AS1
DAP	DAP
AC012629.2	AC012629.2
AC012629.1	AC012629.1
CTNND2	CTNND2
AC106771.1	AC106771.1
LINC01194	LINC01194
LINC02220	LINC02220
AC016553.1	AC016553.1
DNAH5	DNAH5
AC016576.1	AC016576.1
TRIO	TRIO
OTULINL	OTULINL
AC010491.1	AC010491.1
OTULIN	OTULIN
ANKH	ANKH
AC016575.1	AC016575.1
AC016651.1	AC016651.1
LINC02149	LINC02149
FBXL7	FBXL7
AC010638.1	AC010638.1
MARCH11	MARCH11
AC016650.1	AC016650.1
AC092335.1	AC092335.1
LINC02150	LINC02150
AC020980.1	AC020980.1
ZNF622	ZNF622
RETREG1	RETREG1
AC022113.1	AC022113.1
AC022113.2	AC022113.2
MYO10	MYO10
BASP1	BASP1
AC026790.1	AC026790.1
BASP1-AS1	BASP1-AS1
AC026785.2	AC026785.2
AC026785.3	AC026785.3
LINC02111	LINC02111
LINC02217	LINC02217
LINC02218	LINC02218
AC106774.10	AC106774.10
AC106774.8	AC106774.8
AC106774.9	AC106774.9
AC106774.7	AC106774.7
AC106774.6	AC106774.6
AC106774.5	AC106774.5
AC233724.20	AC233724.20
AC233724.17	AC233724.17
AC233724.18	AC233724.18
AC233724.19	AC233724.19
AC233724.15	AC233724.15
AC233724.6	AC233724.6
AC233724.16	AC233724.16
AC233724.12	AC233724.12
H3.Y	H3.Y
LINC02223	LINC02223
LINC02100	LINC02100
AC106744.1	AC106744.1
AC106744.2	AC106744.2
CDH18	CDH18
CDH18-AS1	CDH18-AS1
LINC02241	LINC02241
LINC02146	LINC02146
AC093274.1	AC093274.1
AC091946.2	AC091946.2
AC091946.1	AC091946.1
CDH12	CDH12
AC010445.1	AC010445.1
PRDM9	PRDM9
C5orf17	C5orf17
AC010387.1	AC010387.1
CDH10	CDH10
AC091885.2	AC091885.2
LINC02239	LINC02239
AC106821.1	AC106821.1
LINC02228	LINC02228
LINC02211	LINC02211
AC099499.2	AC099499.2
AC099499.1	AC099499.1
AC106754.1	AC106754.1
AC022140.1	AC022140.1
AC025475.1	AC025475.1
AC113347.4	AC113347.4
CDH9	CDH9
AC113355.1	AC113355.1
PURPL	PURPL
LINC02103	LINC02103
AC008825.1	AC008825.1
LINC02109	LINC02109
LINC02064	LINC02064
AC113386.1	AC113386.1
CDH6	CDH6
DROSHA	DROSHA
C5orf22	C5orf22
PDZD2	PDZD2
AC022447.3	AC022447.3
AC022447.1	AC022447.1
AC022447.7	AC022447.7
AC025178.1	AC025178.1
GOLPH3	GOLPH3
AC025181.2	AC025181.2
MTMR12	MTMR12
ZFR	ZFR
SUB1	SUB1
LINC02061	LINC02061
NPR3	NPR3
AC010343.3	AC010343.3
LINC02120	LINC02120
AC034223.1	AC034223.1
AC034223.2	AC034223.2
LINC02160	LINC02160
AC034231.1	AC034231.1
TARS	TARS
AC034232.2	AC034232.2
ADAMTS12	ADAMTS12
RXFP3	RXFP3
SLC45A2	SLC45A2
AMACR	AMACR
C1QTNF3-AMACR	C1QTNF3-AMACR
C1QTNF3	C1QTNF3
AC139792.1	AC139792.1
AC025754.2	AC025754.2
RAI14	RAI14
AC025754.1	AC025754.1
AC026801.2	AC026801.2
TTC23L	TTC23L
RAD1	RAD1
BRIX1	BRIX1
DNAJC21	DNAJC21
AGXT2	AGXT2
PRLR	PRLR
SPEF2	SPEF2
AC137810.1	AC137810.1
IL7R	IL7R
CAPSL	CAPSL
AC112204.2	AC112204.2
UGT3A1	UGT3A1
UGT3A2	UGT3A2
LMBRD2	LMBRD2
SKP2	SKP2
NADK2	NADK2
NADK2-AS1	NADK2-AS1
RANBP3L	RANBP3L
SLC1A3	SLC1A3
AC008957.2	AC008957.2
AC008957.1	AC008957.1
AC026741.1	AC026741.1
NIPBL	NIPBL
CPLANE1	CPLANE1
NUP155	NUP155
WDR70	WDR70
GDNF-AS1	GDNF-AS1
GDNF	GDNF
LINC02117	LINC02117
AC008869.1	AC008869.1
LINC02110	LINC02110
AC034226.1	AC034226.1
LINC02107	LINC02107
LINC02119	LINC02119
EGFLAM	EGFLAM
EGFLAM-AS4	EGFLAM-AS4
EGFLAM-AS3	EGFLAM-AS3
EGFLAM-AS2	EGFLAM-AS2
EGFLAM-AS1	EGFLAM-AS1
AC010457.1	AC010457.1
LIFR	LIFR
LIFR-AS1	LIFR-AS1
AC010425.1	AC010425.1
OSMR-AS1	OSMR-AS1
AC091435.2	AC091435.2
OSMR	OSMR
RICTOR	RICTOR
FYB1	FYB1
C9	C9
DAB2	DAB2
LINC02104	LINC02104
LINC00603	LINC00603
LINC00604	LINC00604
AC093277.1	AC093277.1
TTC33	TTC33
PTGER4	PTGER4
PRKAA1	PRKAA1
RPL37	RPL37
CARD6	CARD6
C7	C7
MROH2B	MROH2B
C6	C6
PLCXD3	PLCXD3
OXCT1	OXCT1
C5orf51	C5orf51
FBXO4	FBXO4
AC108099.1	AC108099.1
GHR	GHR
CCDC152	CCDC152
SELENOP	SELENOP
AC008945.1	AC008945.1
AC008875.1	AC008875.1
AC025171.3	AC025171.3
AC025171.5	AC025171.5
ANXA2R	ANXA2R
AC025171.2	AC025171.2
AC025171.4	AC025171.4
ZNF131	ZNF131
NIM1K	NIM1K
AC114947.2	AC114947.2
HMGCS1	HMGCS1
CCL28	CCL28
TMEM267	TMEM267
C5orf34	C5orf34
AC114956.2	AC114956.2
AC114956.1	AC114956.1
PAIP1	PAIP1
NNT-AS1	NNT-AS1
NNT	NNT
AC104119.1	AC104119.1
FGF10	FGF10
FGF10-AS1	FGF10-AS1
LINC02224	LINC02224
AC093292.1	AC093292.1
MRPS30-DT	MRPS30-DT
AC093297.1	AC093297.1
MRPS30	MRPS30
AC093297.2	AC093297.2
AC114954.1	AC114954.1
HCN1	HCN1
AC122694.1	AC122694.1
EMB	EMB
AC112187.3	AC112187.3
PARP8	PARP8
AC022441.1	AC022441.1
AC022441.2	AC022441.2
AC008808.2	AC008808.2
LINC02106	LINC02106
AC008808.1	AC008808.1
AC010478.1	AC010478.1
ISL1	ISL1
AC091860.2	AC091860.2
LINC02118	LINC02118
AC022126.1	AC022126.1
ITGA1	ITGA1
PELO	PELO
AC025180.1	AC025180.1
ITGA2	ITGA2
AC008966.2	AC008966.2
MOCS2	MOCS2
AC008966.1	AC008966.1
FST	FST
NDUFS4	NDUFS4
LINC02105	LINC02105
AC025175.1	AC025175.1
ARL15	ARL15
LINC01033	LINC01033
HSPB3	HSPB3
SNX18	SNX18
AC112198.3	AC112198.3
ESM1	ESM1
GZMK	GZMK
AC034238.3	AC034238.3
AC034238.2	AC034238.2
GZMA	GZMA
CDC20B	CDC20B
GPX8	GPX8
MCIDAS	MCIDAS
CCNO	CCNO
AC026704.1	AC026704.1
DHX29	DHX29
MTREX	MTREX
PLPP1	PLPP1
SLC38A9	SLC38A9
DDX4	DDX4
IL31RA	IL31RA
IL6ST	IL6ST
AC008914.1	AC008914.1
AC008892.1	AC008892.1
AC016596.1	AC016596.1
ANKRD55	ANKRD55
AC034245.1	AC034245.1
LINC01948	LINC01948
C5orf67	C5orf67
AC008940.1	AC008940.1
MAP3K1	MAP3K1
AC008937.2	AC008937.2
AC008937.1	AC008937.1
SETD9	SETD9
MIER3	MIER3
AC008937.3	AC008937.3
AC016644.1	AC016644.1
GPBP1	GPBP1
AC025470.2	AC025470.2
ACTBL2	ACTBL2
AC008780.1	AC008780.1
AC008780.2	AC008780.2
AC106822.1	AC106822.1
LINC02225	LINC02225
LINC02101	LINC02101
PLK2	PLK2
GAPT	GAPT
LINC02108	LINC02108
RAB3C	RAB3C
AC016642.1	AC016642.1
AC008852.1	AC008852.1
PDE4D	PDE4D
AC092343.1	AC092343.1
AC034234.1	AC034234.1
PART1	PART1
DEPDC1B	DEPDC1B
ELOVL7	ELOVL7
AC104113.1	AC104113.1
ERCC8	ERCC8
AC022445.1	AC022445.1
NDUFAF2	NDUFAF2
SMIM15	SMIM15
SMIM15-AS1	SMIM15-AS1
LINC02057	LINC02057
ZSWIM6	ZSWIM6
AC026746.1	AC026746.1
C5orf64-AS1	C5orf64-AS1
AC026434.1	AC026434.1
KIF2A	KIF2A
DIMT1	DIMT1
IPO11	IPO11
LRRC70	LRRC70
HTR1A	HTR1A
RNF180	RNF180
RGS7BP	RGS7BP
SHISAL2B	SHISAL2B
SREK1IP1	SREK1IP1
CWC27	CWC27
AC092354.2	AC092354.2
AC092354.1	AC092354.1
ADAMTS6	ADAMTS6
AC025176.1	AC025176.1
CENPK	CENPK
PPWD1	PPWD1
TRIM23	TRIM23
TRAPPC13	TRAPPC13
SHLD3	SHLD3
SGTB	SGTB
NLN	NLN
AC010359.1	AC010359.1
ERBIN	ERBIN
SREK1	SREK1
AC025442.1	AC025442.1
LINC02065	LINC02065
AC113378.1	AC113378.1
LINC02229	LINC02229
MAST4	MAST4
MAST4-AS1	MAST4-AS1
CD180	CD180
AC010420.1	AC010420.1
AC112206.2	AC112206.2
LINC02242	LINC02242
AC106798.1	AC106798.1
AC024581.1	AC024581.1
LINC02219	LINC02219
PIK3R1	PIK3R1
AC024579.1	AC024579.1
AC010280.2	AC010280.2
AC010280.3	AC010280.3
AC010280.1	AC010280.1
AC093523.1	AC093523.1
AC093248.1	AC093248.1
LINC02198	LINC02198
AC010273.2	AC010273.2
SLC30A5	SLC30A5
AC010273.1	AC010273.1
CCNB1	CCNB1
CENPH	CENPH
MRPS36	MRPS36
CDK7	CDK7
CCDC125	CCDC125
AK6	AK6
TAF9	TAF9
RAD17	RAD17
MARVELD2	MARVELD2
AC145146.1	AC145146.1
OCLN	OCLN
GTF2H2C	GTF2H2C
SERF1B	SERF1B
SMN2	SMN2
AC140134.2	AC140134.2
AC146944.4	AC146944.4
SERF1A	SERF1A
SMN1	SMN1
AC139834.1	AC139834.1
NAIP	NAIP
GTF2H2	GTF2H2
LINC02197	LINC02197
AC145141.2	AC145141.2
AC145141.1	AC145141.1
BDP1	BDP1
MCCC2	MCCC2
CARTPT	CARTPT
MAP1B	MAP1B
MRPS27	MRPS27
PTCD2	PTCD2
ZNF366	ZNF366
LINC02056	LINC02056
AC063979.2	AC063979.2
AC035140.1	AC035140.1
TNPO1	TNPO1
AC008972.1	AC008972.1
AC008972.2	AC008972.2
FCHO2	FCHO2
TMEM171	TMEM171
AC116345.3	AC116345.3
TMEM174	TMEM174
AC116345.1	AC116345.1
LINC02230	LINC02230
FOXD1	FOXD1
FOXD1-AS1	FOXD1-AS1
LINC01385	LINC01385
LINC01386	LINC01386
AC099522.2	AC099522.2
BTF3	BTF3
ANKRA2	ANKRA2
UTP15	UTP15
ARHGEF28	ARHGEF28
AC091868.2	AC091868.2
AC093283.1	AC093283.1
LINC02122	LINC02122
LINC01335	LINC01335
AC106732.1	AC106732.1
LINC01333	LINC01333
LINC01332	LINC01332
LINC01331	LINC01331
ENC1	ENC1
HEXB	HEXB
GFM2	GFM2
NSA2	NSA2
FAM169A	FAM169A
AC010501.1	AC010501.1
AC116337.3	AC116337.3
GCNT4	GCNT4
LINC01336	LINC01336
ANKRD31	ANKRD31
AC008897.2	AC008897.2
HMGCR	HMGCR
COL4A3BP	COL4A3BP
AC008897.3	AC008897.3
POLK	POLK
AC010245.1	AC010245.1
AC010245.2	AC010245.2
ANKDD1B	ANKDD1B
POC5	POC5
AC026774.1	AC026774.1
SV2C	SV2C
AC113404.1	AC113404.1
IQGAP2	IQGAP2
AC026725.1	AC026725.1
F2RL2	F2RL2
AC025188.1	AC025188.1
F2R	F2R
F2RL1	F2RL1
S100Z	S100Z
CRHBP	CRHBP
AGGF1	AGGF1
AC008581.2	AC008581.2
ZBED3	ZBED3
AC008581.1	AC008581.1
ZBED3-AS1	ZBED3-AS1
AC022414.1	AC022414.1
PDE8B	PDE8B
WDR41	WDR41
OTP	OTP
TBCA	TBCA
AC108482.1	AC108482.1
AP3B1	AP3B1
SCAMP1-AS1	SCAMP1-AS1
SCAMP1	SCAMP1
LHFPL2	LHFPL2
ARSB	ARSB
DMGDH	DMGDH
BHMT2	BHMT2
BHMT	BHMT
JMY	JMY
HOMER1	HOMER1
TENT2	TENT2
CMYA5	CMYA5
AC008496.2	AC008496.2
LINC01455	LINC01455
MTX3	MTX3
THBS4	THBS4
AC012636.1	AC012636.1
SERINC5	SERINC5
AC010260.1	AC010260.1
SPZ1	SPZ1
ZFYVE16	ZFYVE16
AC008771.1	AC008771.1
FAM151B	FAM151B
ANKRD34B	ANKRD34B
LINC01337	LINC01337
DHFR	DHFR
AC008434.1	AC008434.1
MSH3	MSH3
RASGRF2-AS1	RASGRF2-AS1
RASGRF2	RASGRF2
AC026427.1	AC026427.1
CKMT2-AS1	CKMT2-AS1
CKMT2	CKMT2
ZCCHC9	ZCCHC9
ACOT12	ACOT12
SSBP2	SSBP2
AC026726.1	AC026726.1
ATG10	ATG10
ATG10-AS1	ATG10-AS1
RPS23	RPS23
ATP6AP1L	ATP6AP1L
AC026782.1	AC026782.1
AC026782.2	AC026782.2
AC008885.2	AC008885.2
LINC01338	LINC01338
AC108174.1	AC108174.1
AC027338.2	AC027338.2
AC027338.1	AC027338.1
AC104118.1	AC104118.1
TMEM167A	TMEM167A
XRCC4	XRCC4
VCAN	VCAN
VCAN-AS1	VCAN-AS1
HAPLN1	HAPLN1
EDIL3	EDIL3
AC113383.1	AC113383.1
AC114928.1	AC114928.1
AC117522.2	AC117522.2
AC010486.1	AC010486.1
AC010486.2	AC010486.2
AC010486.3	AC010486.3
AC010595.1	AC010595.1
AC026414.1	AC026414.1
AC016550.1	AC016550.1
AC016550.2	AC016550.2
AC016550.3	AC016550.3
COX7C	COX7C
LINC02059	LINC02059
AC008539.1	AC008539.1
AC109492.1	AC109492.1
LINC01949	LINC01949
RASA1	RASA1
CCNH	CCNH
AC018754.1	AC018754.1
LINC02488	LINC02488
LINC02144	LINC02144
TMEM161B	TMEM161B
TMEM161B-AS1	TMEM161B-AS1
LINC02060	LINC02060
AC091826.2	AC091826.2
LINC00461	LINC00461
MEF2C-AS2	MEF2C-AS2
AC008525.1	AC008525.1
AC008525.2	AC008525.2
MEF2C	MEF2C
MEF2C-AS1	MEF2C-AS1
AC074131.1	AC074131.1
LINC02161	LINC02161
AC008448.1	AC008448.1
AC113167.1	AC113167.1
AC099554.1	AC099554.1
CETN3	CETN3
MBLAC2	MBLAC2
POLR3G	POLR3G
LYSMD3	LYSMD3
ADGRV1	ADGRV1
AC093281.1	AC093281.1
AC093281.2	AC093281.2
AC123595.1	AC123595.1
LUCAT1	LUCAT1
AC123595.2	AC123595.2
AC008799.2	AC008799.2
ARRDC3	ARRDC3
ARRDC3-AS1	ARRDC3-AS1
AC114316.2	AC114316.2
AC114316.1	AC114316.1
AC124854.1	AC124854.1
AC026780.1	AC026780.1
AC026780.2	AC026780.2
AC008517.1	AC008517.1
LINC02058	LINC02058
AC012625.1	AC012625.1
NR2F1-AS1	NR2F1-AS1
NR2F1	NR2F1
FAM172A	FAM172A
POU5F2	POU5F2
AC108102.1	AC108102.1
KIAA0825	KIAA0825
SLF1	SLF1
MCTP1	MCTP1
AC008534.1	AC008534.1
AC012312.1	AC012312.1
FAM81B	FAM81B
TTC37	TTC37
ARSK	ARSK
GPR150	GPR150
RFESD	RFESD
SPATA9	SPATA9
AC008840.1	AC008840.1
RHOBTB3	RHOBTB3
GLRX	GLRX
AC008592.4	AC008592.4
AC008592.5	AC008592.5
LINC01554	LINC01554
ELL2	ELL2
AC104123.1	AC104123.1
AC008592.2	AC008592.2
MIR583HG	MIR583HG
AC099509.1	AC099509.1
AC099509.2	AC099509.2
PCSK1	PCSK1
CAST	CAST
AC020900.1	AC020900.1
ERAP1	ERAP1
AC008906.1	AC008906.1
AC008906.2	AC008906.2
AC009126.1	AC009126.1
ERAP2	ERAP2
LNPEP	LNPEP
LIX1-AS1	LIX1-AS1
LIX1	LIX1
RIOK2	RIOK2
AC008883.1	AC008883.1
AC008883.2	AC008883.2
LINC01340	LINC01340
LINC02234	LINC02234
LINC01846	LINC01846
RGMB	RGMB
RGMB-AS1	RGMB-AS1
AC008522.1	AC008522.1
CHD1	CHD1
LINC02062	LINC02062
LINC02113	LINC02113
AC113385.1	AC113385.1
AC021086.1	AC021086.1
FAM174A	FAM174A
AC027315.1	AC027315.1
ST8SIA4	ST8SIA4
AC008948.1	AC008948.1
SLCO4C1	SLCO4C1
SLCO6A1	SLCO6A1
AC094108.1	AC094108.1
LINC00492	LINC00492
AC099487.1	AC099487.1
LINC00491	LINC00491
PAM	PAM
GIN1	GIN1
PPIP5K2	PPIP5K2
AC011362.1	AC011362.1
C5orf30	C5orf30
AC010406.1	AC010406.1
LINC02115	LINC02115
NUDT12	NUDT12
LINC02163	LINC02163
AC099520.1	AC099520.1
AC099520.2	AC099520.2
AC091987.1	AC091987.1
LINC01950	LINC01950
EFNA5	EFNA5
AC024587.2	AC024587.2
FBXL17	FBXL17
LINC01023	LINC01023
FER	FER
AC008871.1	AC008871.1
AC008467.1	AC008467.1
PJA2	PJA2
AC091917.3	AC091917.3
AC091917.2	AC091917.2
AC091917.1	AC091917.1
AC012603.1	AC012603.1
MAN2A1	MAN2A1
LINC01848	LINC01848
TMEM232	TMEM232
SLC25A46	SLC25A46
AC010395.1	AC010395.1
TSLP	TSLP
AC008572.1	AC008572.1
WDR36	WDR36
CAMK4	CAMK4
AC010468.2	AC010468.2
AC010275.1	AC010275.1
STARD4	STARD4
STARD4-AS1	STARD4-AS1
NREP	NREP
NREP-AS1	NREP-AS1
EPB41L4A	EPB41L4A
EPB41L4A-AS1	EPB41L4A-AS1
AC010261.1	AC010261.1
AC010261.2	AC010261.2
AC104126.1	AC104126.1
EPB41L4A-DT	EPB41L4A-DT
LINC02200	LINC02200
APC	APC
AC008575.1	AC008575.1
SRP19	SRP19
REEP5	REEP5
DCP2	DCP2
MCC	MCC
AC079465.1	AC079465.1
TSSK1B	TSSK1B
YTHDC2	YTHDC2
AC106789.1	AC106789.1
KCNN2	KCNN2
AC010230.1	AC010230.1
LINC01957	LINC01957
AC094104.2	AC094104.2
AC094104.1	AC094104.1
TRIM36	TRIM36
AC008494.2	AC008494.2
PGGT1B	PGGT1B
AC008494.3	AC008494.3
CCDC112	CCDC112
FEM1C	FEM1C
TMED7-TICAM2	TMED7-TICAM2
TICAM2	TICAM2
AC010226.1	AC010226.1
TMED7	TMED7
AC008549.2	AC008549.2
AC008549.1	AC008549.1
CDO1	CDO1
ATG12	ATG12
AP3S1	AP3S1
LVRN	LVRN
ARL14EPL	ARL14EPL
AC034236.3	AC034236.3
AC034236.2	AC034236.2
COMMD10	COMMD10
AC018752.1	AC018752.1
SEMA6A	SEMA6A
SEMA6A-AS1	SEMA6A-AS1
SEMA6A-AS2	SEMA6A-AS2
LINC02214	LINC02214
AC010267.1	AC010267.1
AC093534.2	AC093534.2
LINC00992	LINC00992
LINC02147	LINC02147
LINC02148	LINC02148
LINC02208	LINC02208
LINC02216	LINC02216
LINC02215	LINC02215
AC093206.1	AC093206.1
DTWD2	DTWD2
AC008629.1	AC008629.1
DMXL1	DMXL1
TNFAIP8	TNFAIP8
HSD17B4	HSD17B4
FAM170A	FAM170A
AC008574.1	AC008574.1
AC113418.1	AC113418.1
PRR16	PRR16
AC114284.1	AC114284.1
AC008568.1	AC008568.1
FTMT	FTMT
SRFBP1	SRFBP1
LOX	LOX
AC010255.1	AC010255.1
ZNF474	ZNF474
AC010255.3	AC010255.3
AC010255.2	AC010255.2
AC113349.2	AC113349.2
SNCAIP	SNCAIP
AC113349.1	AC113349.1
AC119150.1	AC119150.1
AC022101.1	AC022101.1
LINC02201	LINC02201
SNX2	SNX2
SNX24	SNX24
PPIC	PPIC
AC106786.2	AC106786.2
AC106786.1	AC106786.1
PRDM6	PRDM6
CEP120	CEP120
CSNK1G3	CSNK1G3
LINC01170	LINC01170
AC016556.1	AC016556.1
AC025465.2	AC025465.2
AC025465.4	AC025465.4
AC025465.3	AC025465.3
AC025465.1	AC025465.1
ZNF608	ZNF608
AC112196.1	AC112196.1
LINC02240	LINC02240
AC109464.1	AC109464.1
AC109464.2	AC109464.2
AC109471.1	AC109471.1
AC010235.1	AC010235.1
LINC02039	LINC02039
GRAMD2B	GRAMD2B
AC093535.1	AC093535.1
ALDH7A1	ALDH7A1
PHAX	PHAX
TEX43	TEX43
LMNB1-DT	LMNB1-DT
LMNB1	LMNB1
MARCH3	MARCH3
C5orf63	C5orf63
AC011416.3	AC011416.3
MEGF10	MEGF10
AC010424.2	AC010424.2
PRRC1	PRRC1
AC010424.3	AC010424.3
CTXN3	CTXN3
AC022118.1	AC022118.1
CCDC192	CCDC192
AC068658.1	AC068658.1
LINC01184	LINC01184
SLC12A2	SLC12A2
FBN2	FBN2
SLC27A6	SLC27A6
ISOC1	ISOC1
ADAMTS19-AS1	ADAMTS19-AS1
ADAMTS19	ADAMTS19
AC008591.1	AC008591.1
KIAA1024L	KIAA1024L
CHSY3	CHSY3
HINT1	HINT1
LYRM7	LYRM7
CDC42SE2	CDC42SE2
RAPGEF6	RAPGEF6
AC008695.1	AC008695.1
FNIP1	FNIP1
MEIKIN	MEIKIN
AC026398.1	AC026398.1
AC034228.3	AC034228.3
ACSL6	ACSL6
AC034228.1	AC034228.1
AC034228.2	AC034228.2
IL3	IL3
CSF2	CSF2
AC063976.1	AC063976.1
P4HA2-AS1	P4HA2-AS1
P4HA2	P4HA2
PDLIM4	PDLIM4
SLC22A4	SLC22A4
SLC22A5	SLC22A5
AC116366.3	AC116366.3
AC116366.2	AC116366.2
AC116366.1	AC116366.1
IRF1	IRF1
IL5	IL5
RAD50	RAD50
TH2LCRR	TH2LCRR
IL13	IL13
IL4	IL4
AC004039.1	AC004039.1
KIF3A	KIF3A
CCNI2	CCNI2
SEPT8	SEPT8
SOWAHA	SOWAHA
AC004775.1	AC004775.1
SHROOM1	SHROOM1
GDF9	GDF9
UQCRQ	UQCRQ
LEAP2	LEAP2
AFF4	AFF4
AC010240.3	AC010240.3
ZCCHC10	ZCCHC10
HSPA4	HSPA4
AC113410.2	AC113410.2
AC010307.2	AC010307.2
FSTL4	FSTL4
AC010307.3	AC010307.3
AC010307.4	AC010307.4
