	0
AL109811.2	AL109811.2
MTOR	MTOR
MTOR-AS1	MTOR-AS1
ANGPTL7	ANGPTL7
UBIAD1	UBIAD1
AL031291.1	AL031291.1
DISP3	DISP3
LINC01647	LINC01647
AL031731.1	AL031731.1
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
DRAXIN	DRAXIN
AGTRAP	AGTRAP
C1orf167	C1orf167
AL953897.1	AL953897.1
MTHFR	MTHFR
CLCN6	CLCN6
NPPA-AS1	NPPA-AS1
NPPA	NPPA
NPPB	NPPB
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
MIIP	MIIP
TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B
VPS13D	VPS13D
AC243836.1	AC243836.1
DHRS3	DHRS3
AC254633.1	AC254633.1
AADACL4	AADACL4
AADACL3	AADACL3
C1orf158	C1orf158
PRAMEF12	PRAMEF12
PRAMEF1	PRAMEF1
LINC01784	LINC01784
PRAMEF11	PRAMEF11
HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4
PRAMEF10	PRAMEF10
PRAMEF7	PRAMEF7
PRAMEF6	PRAMEF6
PRAMEF27	PRAMEF27
HNRNPCL3	HNRNPCL3
PRAMEF25	PRAMEF25
HNRNPCL2	HNRNPCL2
AC245056.1	AC245056.1
PRAMEF26	PRAMEF26
HNRNPCL4	HNRNPCL4
PRAMEF9	PRAMEF9
PRAMEF13	PRAMEF13
PRAMEF18	PRAMEF18
PRAMEF5	PRAMEF5
PRAMEF8	PRAMEF8
PRAMEF33	PRAMEF33
PRAMEF15	PRAMEF15
AC243961.1	AC243961.1
PRAMEF14	PRAMEF14
PRAMEF19	PRAMEF19
PRAMEF17	PRAMEF17
PRAMEF20	PRAMEF20
LRRC38	LRRC38
AL354712.1	AL354712.1
PDPN	PDPN
AL359771.1	AL359771.1
PRDM2	PRDM2
KAZN	KAZN
AL357873.1	AL357873.1
KAZN-AS1	KAZN-AS1
TMEM51-AS1	TMEM51-AS1
TMEM51	TMEM51
C1orf195	C1orf195
FHAD1	FHAD1
AL031283.2	AL031283.2
AL031283.3	AL031283.3
AL031283.1	AL031283.1
EFHD2	EFHD2
CTRC	CTRC
CELA2A	CELA2A
CELA2B	CELA2B
CASP9	CASP9
DNAJC16	DNAJC16
AL121992.3	AL121992.3
AGMAT	AGMAT
AL121992.1	AL121992.1
DDI2	DDI2
RSC1A1	RSC1A1
AL121992.2	AL121992.2
PLEKHM2	PLEKHM2
AL450998.3	AL450998.3
SLC25A34	SLC25A34
SLC25A34-AS1	SLC25A34-AS1
TMEM82	TMEM82
