genes	class	species
Gm29183	predict_gene_Gm	mice
Gm28364	predict_gene_Gm	mice
Gm29539	predict_gene_Gm	mice
Gm15841	predict_gene_Gm	mice
Gm28294	predict_gene_Gm	mice
Gm28902	predict_gene_Gm	mice
Gm15179	predict_gene_Gm	mice
Gm15178	predict_gene_Gm	mice
Gmppa	predict_gene_Gm	mice
Gm29065	predict_gene_Gm	mice
Gm29069	predict_gene_Gm	mice
Gm17751	predict_gene_Gm	mice
Gm816	predict_gene_Gm	mice
Gm28386	predict_gene_Gm	mice
Gm28387	predict_gene_Gm	mice
Gm28410	predict_gene_Gm	mice
Gm29611	predict_gene_Gm	mice
Gm29536	predict_gene_Gm	mice
Gm29187	predict_gene_Gm	mice
Gm29125	predict_gene_Gm	mice
Gm9747	predict_gene_Gm	mice
Gm28940	predict_gene_Gm	mice
Gm28942	predict_gene_Gm	mice
Gm10553	predict_gene_Gm	mice
Gm16028	predict_gene_Gm	mice
Gm16025	predict_gene_Gm	mice
Gm16092	predict_gene_Gm	mice
Gm16094	predict_gene_Gm	mice
Gm10552	predict_gene_Gm	mice
Gm17017	predict_gene_Gm	mice
Gm28884	predict_gene_Gm	mice
Gm28100	predict_gene_Gm	mice
Gm21972	predict_gene_Gm	mice
Gm16341	predict_gene_Gm	mice
Gm28626	predict_gene_Gm	mice
Gm28375	predict_gene_Gm	mice
Gm29371	predict_gene_Gm	mice
Gm29374	predict_gene_Gm	mice
Gm19582	predict_gene_Gm	mice
Gm29538	predict_gene_Gm	mice
Gm28888	predict_gene_Gm	mice
Gm19589	predict_gene_Gm	mice
Gm29336	predict_gene_Gm	mice
Gm29337	predict_gene_Gm	mice
Gm28342	predict_gene_Gm	mice
Gm28721	predict_gene_Gm	mice
Gm28723	predict_gene_Gm	mice
Gm28722	predict_gene_Gm	mice
Gm9991	predict_gene_Gm	mice
Gm28199	predict_gene_Gm	mice
Gm26683	predict_gene_Gm	mice
Gm17090	predict_gene_Gm	mice
Gm28382	predict_gene_Gm	mice
Gm28380	predict_gene_Gm	mice
Gm29100	predict_gene_Gm	mice
Gm26720	predict_gene_Gm	mice
Gm29099	predict_gene_Gm	mice
Gm28479	predict_gene_Gm	mice
Gm29483	predict_gene_Gm	mice
Gm29482	predict_gene_Gm	mice
Gm29481	predict_gene_Gm	mice
Gm29480	predict_gene_Gm	mice
Gm28086	predict_gene_Gm	mice
Gm28535	predict_gene_Gm	mice
Gm28536	predict_gene_Gm	mice
Gm10550	predict_gene_Gm	mice
Gm9994	predict_gene_Gm	mice
Gm6086	predict_gene_Gm	mice
Gm29601	predict_gene_Gm	mice
Gm28901	predict_gene_Gm	mice
Gm29461	predict_gene_Gm	mice
Gm7967	predict_gene_Gm	mice
Gm20268	predict_gene_Gm	mice
Gm28187	predict_gene_Gm	mice
Gm15699	predict_gene_Gm	mice
Gm29012	predict_gene_Gm	mice
Gm17634	predict_gene_Gm	mice
Gm7160	predict_gene_Gm	mice
Gm20753	predict_gene_Gm	mice
Gm15391	predict_gene_Gm	mice
Gm15389	predict_gene_Gm	mice
Gm29088	predict_gene_Gm	mice
Gm28189	predict_gene_Gm	mice
Gm19965	predict_gene_Gm	mice
Gm28363	predict_gene_Gm	mice
Gm28360	predict_gene_Gm	mice
Gm28168	predict_gene_Gm	mice
Gm7145	predict_gene_Gm	mice
Gm29106	predict_gene_Gm	mice
Gm28867	predict_gene_Gm	mice
Gm26831	predict_gene_Gm	mice
Gm29456	predict_gene_Gm	mice
Gm29455	predict_gene_Gm	mice
Gm27184	predict_gene_Gm	mice
Gm28209	predict_gene_Gm	mice
Gm29346	predict_gene_Gm	mice
Gm29345	predict_gene_Gm	mice
Gm29348	predict_gene_Gm	mice
Gm29347	predict_gene_Gm	mice
Gm29359	predict_gene_Gm	mice
Gm15392	predict_gene_Gm	mice
Gm28590	predict_gene_Gm	mice
Gm28928	predict_gene_Gm	mice
Gm28706	predict_gene_Gm	mice
Gm28800	predict_gene_Gm	mice
Gm26686	predict_gene_Gm	mice
Gm16081	predict_gene_Gm	mice
Gm15674	predict_gene_Gm	mice
Gm15675	predict_gene_Gm	mice
Gm16083	predict_gene_Gm	mice
Gm29427	predict_gene_Gm	mice
Gm28857	predict_gene_Gm	mice
Gm28856	predict_gene_Gm	mice
Gm15848	predict_gene_Gm	mice
Gm28914	predict_gene_Gm	mice
Gm28913	predict_gene_Gm	mice
Gm26892	predict_gene_Gm	mice
Gm29629	predict_gene_Gm	mice
Gm10188	predict_gene_Gm	mice
Gm29630	predict_gene_Gm	mice
Gm15849	predict_gene_Gm	mice
Gm10538	predict_gene_Gm	mice
Gm28609	predict_gene_Gm	mice
Gm19461	predict_gene_Gm	mice
Gm28040	predict_gene_Gm	mice
Gm26706	predict_gene_Gm	mice
Gm38394	predict_gene_Gm	mice
Gm28441	predict_gene_Gm	mice
Gm15851	predict_gene_Gm	mice
Gm1627	predict_gene_Gm	mice
Gm26783	predict_gene_Gm	mice
Gm28892	predict_gene_Gm	mice
Gm10535	predict_gene_Gm	mice
Gm15445	predict_gene_Gm	mice
Gm26642	predict_gene_Gm	mice
Gm4793	predict_gene_Gm	mice
Gm38399	predict_gene_Gm	mice
Gm37759	predict_gene_Gm	mice
Gm26568	predict_gene_Gm	mice
Gm37552	predict_gene_Gm	mice
Gm26781	predict_gene_Gm	mice
Gm37799	predict_gene_Gm	mice
Gm33994	predict_gene_Gm	mice
Gm19705	predict_gene_Gm	mice
Gm26979	predict_gene_Gm	mice
Gm26936	predict_gene_Gm	mice
Gm28556	predict_gene_Gm	mice
Gm28501	predict_gene_Gm	mice
Gm5833	predict_gene_Gm	mice
Gm34816	predict_gene_Gm	mice
Gm4788	predict_gene_Gm	mice
Gm29514	predict_gene_Gm	mice
Gm15584	predict_gene_Gm	mice
Gm29515	predict_gene_Gm	mice
Gm29020	predict_gene_Gm	mice
Gm29398	predict_gene_Gm	mice
Gm20631	predict_gene_Gm	mice
Gm29188	predict_gene_Gm	mice
Gm10138	predict_gene_Gm	mice
Gm28181	predict_gene_Gm	mice
Gm28610	predict_gene_Gm	mice
Gm28960	predict_gene_Gm	mice
Gm29529	predict_gene_Gm	mice
Gm28513	predict_gene_Gm	mice
Gm29290	predict_gene_Gm	mice
Gm29291	predict_gene_Gm	mice
Gm28286	predict_gene_Gm	mice
Gm29282	predict_gene_Gm	mice
Gm9530	predict_gene_Gm	mice
Gm37622	predict_gene_Gm	mice
Gm5532	predict_gene_Gm	mice
Gm37571	predict_gene_Gm	mice
Gm2000	predict_gene_Gm	mice
Gm10031	predict_gene_Gm	mice
Gm28694	predict_gene_Gm	mice
Gm15486	predict_gene_Gm	mice
Gm37679	predict_gene_Gm	mice
Gm38039	predict_gene_Gm	mice
Gm37294	predict_gene_Gm	mice
Gm36975	predict_gene_Gm	mice
Gm37083	predict_gene_Gm	mice
Gm38060	predict_gene_Gm	mice
Gm37362	predict_gene_Gm	mice
Gm37634	predict_gene_Gm	mice
Gm31925	predict_gene_Gm	mice
Gm38304	predict_gene_Gm	mice
Gm37273	predict_gene_Gm	mice
Gm20471	predict_gene_Gm	mice
Gm26523	predict_gene_Gm	mice
Gm29500	predict_gene_Gm	mice
Gm16587	predict_gene_Gm	mice
Gm16548	predict_gene_Gm	mice
Gm32391	predict_gene_Gm	mice
Gm26685	predict_gene_Gm	mice
Gm37754	predict_gene_Gm	mice
Gm37853	predict_gene_Gm	mice
Gm37184	predict_gene_Gm	mice
Gm36945	predict_gene_Gm	mice
Gm32569	predict_gene_Gm	mice
Gm38325	predict_gene_Gm	mice
Gm37073	predict_gene_Gm	mice
Gm36972	predict_gene_Gm	mice
Gm37469	predict_gene_Gm	mice
Gm26665	predict_gene_Gm	mice
Gm37923	predict_gene_Gm	mice
Gm15853	predict_gene_Gm	mice
Gm15853-1	predict_gene_Gm	mice
Gm4846	predict_gene_Gm	mice
Gm4847	predict_gene_Gm	mice
Gm16701	predict_gene_Gm	mice
Gm16701-1	predict_gene_Gm	mice
Gm37982	predict_gene_Gm	mice
Gm2453	predict_gene_Gm	mice
Gm20711	predict_gene_Gm	mice
Gm37839	predict_gene_Gm	mice
Gm37748	predict_gene_Gm	mice
Gm37502	predict_gene_Gm	mice
Gm7694	predict_gene_Gm	mice
Gm26620	predict_gene_Gm	mice
Gm38204	predict_gene_Gm	mice
Gm10522	predict_gene_Gm	mice
Gm20045	predict_gene_Gm	mice
Gm26641	predict_gene_Gm	mice
Gm37787	predict_gene_Gm	mice
Gm10521	predict_gene_Gm	mice
Gm37065	predict_gene_Gm	mice
Gm37756	predict_gene_Gm	mice
Gm17224	predict_gene_Gm	mice
Gm37950	predict_gene_Gm	mice
Gm36937	predict_gene_Gm	mice
Gm4955	predict_gene_Gm	mice
Gm36307	predict_gene_Gm	mice
Gm38100	predict_gene_Gm	mice
Gm38101	predict_gene_Gm	mice
Gm36536	predict_gene_Gm	mice
Gm36992	predict_gene_Gm	mice
Gm15423	predict_gene_Gm	mice
Gm26801	predict_gene_Gm	mice
Gm37306	predict_gene_Gm	mice
Gm37280	predict_gene_Gm	mice
Gm16432	predict_gene_Gm	mice
Gm16586	predict_gene_Gm	mice
Gm28062	predict_gene_Gm	mice
Gm16564	predict_gene_Gm	mice
Gm1305	predict_gene_Gm	mice
Gm10518	predict_gene_Gm	mice
Gm37336	predict_gene_Gm	mice
Gm31728	predict_gene_Gm	mice
Gm37267	predict_gene_Gm	mice
Gm37768	predict_gene_Gm	mice
Gm38293	predict_gene_Gm	mice
Gm17275	predict_gene_Gm	mice
Gm37406	predict_gene_Gm	mice
Gm5533	predict_gene_Gm	mice
Gm37885	predict_gene_Gm	mice
Gm37218	predict_gene_Gm	mice
Gm38079	predict_gene_Gm	mice
Gm37986	predict_gene_Gm	mice
Gm33973	predict_gene_Gm	mice
Gm34068	predict_gene_Gm	mice
Gm38108	predict_gene_Gm	mice
Gm37223	predict_gene_Gm	mice
Gm37712	predict_gene_Gm	mice
Gm37800	predict_gene_Gm	mice
Gm34342	predict_gene_Gm	mice
Gm38251	predict_gene_Gm	mice
Gm34732	predict_gene_Gm	mice
Gm37662	predict_gene_Gm	mice
Gm34882	predict_gene_Gm	mice
Gm2061	predict_gene_Gm	mice
Gm38093	predict_gene_Gm	mice
Gm37134	predict_gene_Gm	mice
Gm29491	predict_gene_Gm	mice
Gm37912	predict_gene_Gm	mice
Gm38155	predict_gene_Gm	mice
Gm37896	predict_gene_Gm	mice
Gm36388	predict_gene_Gm	mice
Gm38064	predict_gene_Gm	mice
Gm26574	predict_gene_Gm	mice
Gm37422	predict_gene_Gm	mice
Gm28172	predict_gene_Gm	mice
Gm29678	predict_gene_Gm	mice
Gm30725	predict_gene_Gm	mice
Gm30932	predict_gene_Gm	mice
Gm31373	predict_gene_Gm	mice
Gm38188	predict_gene_Gm	mice
Gm38161	predict_gene_Gm	mice
Gm37168	predict_gene_Gm	mice
Gm32200	predict_gene_Gm	mice
Gm37432	predict_gene_Gm	mice
Gm38037	predict_gene_Gm	mice
Gm26670	predict_gene_Gm	mice
Gm26879	predict_gene_Gm	mice
Gm10516	predict_gene_Gm	mice
Gm15867	predict_gene_Gm	mice
Gm31406	predict_gene_Gm	mice
Gm15872	predict_gene_Gm	mice
Gm37650	predict_gene_Gm	mice
Gm16897	predict_gene_Gm	mice
Gm32250	predict_gene_Gm	mice
Gm37027	predict_gene_Gm	mice
Gm13184	predict_gene_Gm	mice
Gm13185	predict_gene_Gm	mice
Gm13180	predict_gene_Gm	mice
Gm13191	predict_gene_Gm	mice
Gm13189	predict_gene_Gm	mice
Gm13175	predict_gene_Gm	mice
Gm13179	predict_gene_Gm	mice
Gm26776	predict_gene_Gm	mice
Gm13199	predict_gene_Gm	mice
Gm13267	predict_gene_Gm	mice
Gm10857	predict_gene_Gm	mice
Gm13383	predict_gene_Gm	mice
Gm13388	predict_gene_Gm	mice
Gm13391	predict_gene_Gm	mice
Gm13389	predict_gene_Gm	mice
Gm26565	predict_gene_Gm	mice
Gm28641	predict_gene_Gm	mice
Gm13211	predict_gene_Gm	mice
Gm13219	predict_gene_Gm	mice
Gm13218	predict_gene_Gm	mice
Gm13256	predict_gene_Gm	mice
Gm13262	predict_gene_Gm	mice
Gm13264	predict_gene_Gm	mice
Gm38171	predict_gene_Gm	mice
Gm13293	predict_gene_Gm	mice
Gm13291	predict_gene_Gm	mice
Gm10851	predict_gene_Gm	mice
Gm17490	predict_gene_Gm	mice
Gm37565	predict_gene_Gm	mice
Gm37126	predict_gene_Gm	mice
Gm10848	predict_gene_Gm	mice
Gm13269	predict_gene_Gm	mice
Gm13322	predict_gene_Gm	mice
Gm13324	predict_gene_Gm	mice
Gm13330	predict_gene_Gm	mice
Gm13344	predict_gene_Gm	mice
Gm13348	predict_gene_Gm	mice
Gm13346	predict_gene_Gm	mice
Gm17171	predict_gene_Gm	mice
Gm13335	predict_gene_Gm	mice
Gm13362	predict_gene_Gm	mice
Gm13375	predict_gene_Gm	mice
Gm13376	predict_gene_Gm	mice
Gm13327	predict_gene_Gm	mice
Gm13411	predict_gene_Gm	mice
Gm13417	predict_gene_Gm	mice
Gm13387	predict_gene_Gm	mice
Gm38287	predict_gene_Gm	mice
Gm996	predict_gene_Gm	mice
Gm26702	predict_gene_Gm	mice
Gm13539	predict_gene_Gm	mice
Gm13554	predict_gene_Gm	mice
Gm13553	predict_gene_Gm	mice
Gm27196	predict_gene_Gm	mice
Gm13563	predict_gene_Gm	mice
Gm20532	predict_gene_Gm	mice
Gm13398	predict_gene_Gm	mice
Gm13371	predict_gene_Gm	mice
Gm13373	predict_gene_Gm	mice
Gm10134	predict_gene_Gm	mice
Gm13381	predict_gene_Gm	mice
Gm13393	predict_gene_Gm	mice
Gm13402	predict_gene_Gm	mice
Gm13420	predict_gene_Gm	mice
Gm13547	predict_gene_Gm	mice
Gm28035	predict_gene_Gm	mice
Gm28038	predict_gene_Gm	mice
Gm16323	predict_gene_Gm	mice
Gm14487	predict_gene_Gm	mice
Gm14486	predict_gene_Gm	mice
Gm13405	predict_gene_Gm	mice
Gm13425	predict_gene_Gm	mice
Gm13427	predict_gene_Gm	mice
Gm13441	predict_gene_Gm	mice
Gm13442	predict_gene_Gm	mice
Gm13609	predict_gene_Gm	mice
Gm13610	predict_gene_Gm	mice
Gm13412	predict_gene_Gm	mice
Gm13524	predict_gene_Gm	mice
Gm13523	predict_gene_Gm	mice
Gm13528	predict_gene_Gm	mice
Gm13536	predict_gene_Gm	mice
Gm13530	predict_gene_Gm	mice
Gm13403	predict_gene_Gm	mice
Gm13404	predict_gene_Gm	mice
Gm38389	predict_gene_Gm	mice
Gm13449	predict_gene_Gm	mice
Gm13605	predict_gene_Gm	mice
Gm35202	predict_gene_Gm	mice
Gm13431	predict_gene_Gm	mice
Gm13434	predict_gene_Gm	mice
Gm13556	predict_gene_Gm	mice
Gm27197	predict_gene_Gm	mice
Gm13584	predict_gene_Gm	mice
Gm13589	predict_gene_Gm	mice
Gm13496	predict_gene_Gm	mice
Gm28643	predict_gene_Gm	mice
Gm13479	predict_gene_Gm	mice
Gm13465	predict_gene_Gm	mice
Gm13467	predict_gene_Gm	mice
Gm13470	predict_gene_Gm	mice
Gm13481	predict_gene_Gm	mice
Gm13480	predict_gene_Gm	mice
Gm13485	predict_gene_Gm	mice
Gm28639	predict_gene_Gm	mice
Gm13497	predict_gene_Gm	mice
Gm13499	predict_gene_Gm	mice
Gm13490	predict_gene_Gm	mice
Gm13522	predict_gene_Gm	mice
Gm26603	predict_gene_Gm	mice
Gm14033	predict_gene_Gm	mice
Gm26794	predict_gene_Gm	mice
Gm13546	predict_gene_Gm	mice
Gm13544	predict_gene_Gm	mice
Gm17409	predict_gene_Gm	mice
Gm11099	predict_gene_Gm	mice
Gm13572	predict_gene_Gm	mice
Gm13620	predict_gene_Gm	mice
Gm13571	predict_gene_Gm	mice
Gm13580	predict_gene_Gm	mice
Gm13583	predict_gene_Gm	mice
Gm13582	predict_gene_Gm	mice
Gm13561	predict_gene_Gm	mice
Gm13565	predict_gene_Gm	mice
Gm13564	predict_gene_Gm	mice
Gm13569	predict_gene_Gm	mice
Gm13575	predict_gene_Gm	mice
Gm13594	predict_gene_Gm	mice
Gm13595	predict_gene_Gm	mice
Gm13619	predict_gene_Gm	mice
Gm13617	predict_gene_Gm	mice
Gm28638	predict_gene_Gm	mice
Gm13618	predict_gene_Gm	mice
Gm13629	predict_gene_Gm	mice
Gm13598	predict_gene_Gm	mice
Gm1322	predict_gene_Gm	mice
Gm13599	predict_gene_Gm	mice
Gm21830	predict_gene_Gm	mice
Gm26727	predict_gene_Gm	mice
Gm13601	predict_gene_Gm	mice
Gm26743	predict_gene_Gm	mice
Gm13596	predict_gene_Gm	mice
Gm13613	predict_gene_Gm	mice
Gm26558	predict_gene_Gm	mice
Gm13632	predict_gene_Gm	mice
Gm13647	predict_gene_Gm	mice
Gm17250	predict_gene_Gm	mice
Gm13746	predict_gene_Gm	mice
Gm11084	predict_gene_Gm	mice
Gm13703	predict_gene_Gm	mice
Gm13709	predict_gene_Gm	mice
Gm13707	predict_gene_Gm	mice
Gm13708	predict_gene_Gm	mice
Gm10822	predict_gene_Gm	mice
Gm28640	predict_gene_Gm	mice
Gm13667	predict_gene_Gm	mice
Gm14396	predict_gene_Gm	mice
Gm28793	predict_gene_Gm	mice
Gm28230	predict_gene_Gm	mice
Gm14424	predict_gene_Gm	mice
Gm14426	predict_gene_Gm	mice
Gm13652	predict_gene_Gm	mice
Gm13658	predict_gene_Gm	mice
Gm13660	predict_gene_Gm	mice
Gm13656	predict_gene_Gm	mice
Gm13938	predict_gene_Gm	mice
Gm13943	predict_gene_Gm	mice
Gm13944	predict_gene_Gm	mice
Gm13661	predict_gene_Gm	mice
Gm14461	predict_gene_Gm	mice
Gm26755	predict_gene_Gm	mice
Gm13752	predict_gene_Gm	mice
Gm28675	predict_gene_Gm	mice
Gm13686	predict_gene_Gm	mice
Gm13698	predict_gene_Gm	mice
Gm13693	predict_gene_Gm	mice
Gm13695	predict_gene_Gm	mice
Gm13696	predict_gene_Gm	mice
Gm13694	predict_gene_Gm	mice
Gm13697	predict_gene_Gm	mice
Gm13691	predict_gene_Gm	mice
Gm13710	predict_gene_Gm	mice
Gm28635	predict_gene_Gm	mice
Gm19426	predict_gene_Gm	mice
Gm13713	predict_gene_Gm	mice
Gm13716	predict_gene_Gm	mice
Gm13715	predict_gene_Gm	mice
Gm13741	predict_gene_Gm	mice
Gm13757	predict_gene_Gm	mice
Gm13763	predict_gene_Gm	mice
Gm13762	predict_gene_Gm	mice
Gm13769	predict_gene_Gm	mice
Gm17281	predict_gene_Gm	mice
Gm9821	predict_gene_Gm	mice
Gm13780	predict_gene_Gm	mice
Gm13814	predict_gene_Gm	mice
Gm13817	predict_gene_Gm	mice
Gm13816	predict_gene_Gm	mice
Gm13802	predict_gene_Gm	mice
Gm13807	predict_gene_Gm	mice
Gm10804	predict_gene_Gm	mice
Gm10803	predict_gene_Gm	mice
Gm13889	predict_gene_Gm	mice
Gm27027	predict_gene_Gm	mice
Gm13793	predict_gene_Gm	mice
Gm13794	predict_gene_Gm	mice
Gm13799	predict_gene_Gm	mice
Gm10801	predict_gene_Gm	mice
Gm10800	predict_gene_Gm	mice
