genes	class	species
Rpl7	ribosome	mice
Rpl31	ribosome	mice
Rpl37a	ribosome	mice
Rpl7a	ribosome	mice
Rpl12	ribosome	mice
Rpl35	ribosome	mice
Rpl39	ribosome	mice
Rpl10	ribosome	mice
Rpl36a	ribosome	mice
Rpl22l1	ribosome	mice
Rpl34	ribosome	mice
Rpl11	ribosome	mice
Rpl22	ribosome	mice
Rpl9	ribosome	mice
Rpl5	ribosome	mice
Rplp0	ribosome	mice
Rpl6	ribosome	mice
Rpl21	ribosome	mice
Rpl32	ribosome	mice
Rpl28	ribosome	mice
Rpl13a	ribosome	mice
Rpl18	ribosome	mice
Rpl27a	ribosome	mice
Rplp2	ribosome	mice
Rpl6l	ribosome	mice
Rpl41	ribosome	mice
Rpl18a	ribosome	mice
Rpl13	ribosome	mice
Rpl21-ps4	ribosome	mice
Rpl15	ribosome	mice
Rpl23a-ps3	ribosome	mice
Rpl13-ps3	ribosome	mice
Rpl10-ps3	ribosome	mice
Rplp1	ribosome	mice
Rpl4	ribosome	mice
Rpl29	ribosome	mice
Rpl14	ribosome	mice
Rpl26	ribosome	mice
Rpl23a	ribosome	mice
Rpl9-ps1	ribosome	mice
Rpl23	ribosome	mice
Rpl19	ribosome	mice
Rpl27	ribosome	mice
Rpl38	ribosome	mice
Rpl36-ps3	ribosome	mice
Rpl10l	ribosome	mice
Rpl36al	ribosome	mice
Rpl37	ribosome	mice
Rpl30	ribosome	mice
Rpl7a-ps3	ribosome	mice
Rpl8	ribosome	mice
Rpl3	ribosome	mice
Rpl39l	ribosome	mice
Rpl35a	ribosome	mice
Rpl24	ribosome	mice
Rpl3l	ribosome	mice
Rpl10a	ribosome	mice
Rpl7l1	ribosome	mice
Rpl36	ribosome	mice
Rpl7a-ps5	ribosome	mice
Rpl36-ps4	ribosome	mice
Rpl27-ps3	ribosome	mice
Rpl17	ribosome	mice
Rpl9-ps6	ribosome	mice
Rpl13a-ps1	ribosome	mice
Rps6kc1	ribosome	mice
Rps21	ribosome	mice
Rps4x	ribosome	mice
Rps6ka6	ribosome	mice
Rps6ka3	ribosome	mice
Rps3a1	ribosome	mice
Rps27	ribosome	mice
Rps20	ribosome	mice
Rps6	ribosome	mice
Rps8	ribosome	mice
Rps6ka1	ribosome	mice
Rps9	ribosome	mice
Rps5	ribosome	mice
Rps19	ribosome	mice
Rps16	ribosome	mice
Rps11	ribosome	mice
Rps17	ribosome	mice
Rps3	ribosome	mice
Rps13	ribosome	mice
Rps15a	ribosome	mice
Rps12	ribosome	mice
Rps15	ribosome	mice
Rps26	ribosome	mice
Rps18-ps3	ribosome	mice
Rps26-ps1	ribosome	mice
Rps24	ribosome	mice
Rps2-ps6	ribosome	mice
Rps25	ribosome	mice
Rps27l	ribosome	mice
Rps27rt	ribosome	mice
Rpsa	ribosome	mice
Rps27a	ribosome	mice
Rps6kb1	ribosome	mice
Rps23	ribosome	mice
Rps7	ribosome	mice
Rps29	ribosome	mice
Rps6kl1	ribosome	mice
Rps6ka5	ribosome	mice
Rps19bp1	ribosome	mice
Rps6ka2	ribosome	mice
Rps2	ribosome	mice
Rps10	ribosome	mice
Rps28	ribosome	mice
Rps18	ribosome	mice
Rps14	ribosome	mice
Rps6kb2	ribosome	mice
Rps6ka4	ribosome	mice
Rps12-ps3	ribosome	mice
Gm1992	predict_gene	mice
Gm37381	predict_gene	mice
Gm37323	predict_gene	mice
Gm37988	predict_gene	mice
Gm16041	predict_gene	mice
Gm26901	predict_gene	mice
Gm30414	predict_gene	mice
Gm29520	predict_gene	mice
Gm15818	predict_gene	mice
Gm17644	predict_gene	mice
Gm29663	predict_gene	mice
Gm29283	predict_gene	mice
Gm29570	predict_gene	mice
Gm9947	predict_gene	mice
Gm28095	predict_gene	mice
Gm7568	predict_gene	mice
Gm28376	predict_gene	mice
Gm28783	predict_gene	mice
Gm28784	predict_gene	mice
Gm28154	predict_gene	mice
Gm16070	predict_gene	mice
Gm28153	predict_gene	mice
Gm29006	predict_gene	mice
Gm15825	predict_gene	mice
Gm28340	predict_gene	mice
Gm28653	predict_gene	mice
Gm28065	predict_gene	mice
Gm28287	predict_gene	mice
Gm28836	predict_gene	mice
Gm26580	predict_gene	mice
Gm27028	predict_gene	mice
Gm29107	predict_gene	mice
Gm28822	predict_gene	mice
Gm28237	predict_gene	mice
Gm29414	predict_gene	mice
Gm5524	predict_gene	mice
Gm597	predict_gene	mice
Gm9898	predict_gene	mice
Gm29669	predict_gene	mice
Gm28644	predict_gene	mice
Gm29128	predict_gene	mice
Gm5415	predict_gene	mice
Gm37724	predict_gene	mice
Gm37591	predict_gene	mice
Gm37958	predict_gene	mice
Gm37233	predict_gene	mice
Gm28306	predict_gene	mice
Gm38336	predict_gene	mice
Gm37068	predict_gene	mice
Gm28415	predict_gene	mice
Gm37146	predict_gene	mice
Gm33222	predict_gene	mice
Gm37335	predict_gene	mice
Gm33280	predict_gene	mice
Gm38033	predict_gene	mice
Gm43543	predict_gene	mice
Gm33533	predict_gene	mice
Gm37020	predict_gene	mice
Gm26805	predict_gene	mice
Gm15457	predict_gene	mice
Gm5099	predict_gene	mice
Gm16150	predict_gene	mice
Gm16151	predict_gene	mice
Gm16152	predict_gene	mice
Gm37707	predict_gene	mice
Gm37821	predict_gene	mice
Gm3646	predict_gene	mice
Gm16894	predict_gene	mice
Gm35801	predict_gene	mice
Gm37623	predict_gene	mice
Gm37915	predict_gene	mice
Gm28634	predict_gene	mice
Gm29260	predict_gene	mice
Gm9915	predict_gene	mice
Gm29664	predict_gene	mice
Gm28175	predict_gene	mice
Gm28140	predict_gene	mice
Gm28782	predict_gene	mice
Gm29040	predict_gene	mice
Gm29155	predict_gene	mice
Gm29157	predict_gene	mice
Gm29156	predict_gene	mice
Gm8251	predict_gene	mice
Gm5269	predict_gene	mice
Gm28151	predict_gene	mice
Gm28826	predict_gene	mice
Gm29665	predict_gene	mice
Gm28321	predict_gene	mice
Gm28322	predict_gene	mice
Gm28319	predict_gene	mice
Gm29325	predict_gene	mice
Gm17767	predict_gene	mice
Gm28055	predict_gene	mice
Gm553	predict_gene	mice
Gm28178	predict_gene	mice
Gm28777	predict_gene	mice
Gm28778	predict_gene	mice
Gm28551	predict_gene	mice
Gm10561	predict_gene	mice
Gm28240	predict_gene	mice
Gm17234	predict_gene	mice
Gm15759	predict_gene	mice
Gm15834	predict_gene	mice
Gm29018	predict_gene	mice
Gm29017	predict_gene	mice
Gm29016	predict_gene	mice
Gm26813	predict_gene	mice
Gm973	predict_gene	mice
Gm28411	predict_gene	mice
Gm11579	predict_gene	mice
Gm28083	predict_gene	mice
Gm11587	predict_gene	mice
Gm11588	predict_gene	mice
Gm28449	predict_gene	mice
Gm29084	predict_gene	mice
Gm29083	predict_gene	mice
Gm4208	predict_gene	mice
Gm20342	predict_gene	mice
Gm11608	predict_gene	mice
Gm13749	predict_gene	mice
Gm26649	predict_gene	mice
Gm13748	predict_gene	mice
Gm28981	predict_gene	mice
Gm28982	predict_gene	mice
Gm29152	predict_gene	mice
Gm28845	predict_gene	mice
Gm10558	predict_gene	mice
Gm15668	predict_gene	mice
Gm15669	predict_gene	mice
Gm15671	predict_gene	mice
Gm28497	predict_gene	mice
Gm29113	predict_gene	mice
Gm29114	predict_gene	mice
Gm8883	predict_gene	mice
Gm28818	predict_gene	mice
Gm4319	predict_gene	mice
Gm29185	predict_gene	mice
Gm29186	predict_gene	mice
Gm29183	predict_gene	mice
Gm28364	predict_gene	mice
Gm29539	predict_gene	mice
Gm15841	predict_gene	mice
Gm28294	predict_gene	mice
Gm28902	predict_gene	mice
Gm15179	predict_gene	mice
Gm15178	predict_gene	mice
Gmppa	predict_gene	mice
Gm29065	predict_gene	mice
Gm29069	predict_gene	mice
Gm17751	predict_gene	mice
Gm816	predict_gene	mice
Gm28386	predict_gene	mice
Gm28387	predict_gene	mice
Gm28410	predict_gene	mice
Gm29611	predict_gene	mice
Gm29536	predict_gene	mice
Gm29187	predict_gene	mice
Gm29125	predict_gene	mice
Gm9747	predict_gene	mice
Gm28940	predict_gene	mice
Gm28942	predict_gene	mice
Gm10553	predict_gene	mice
Gm16028	predict_gene	mice
Gm16025	predict_gene	mice
Gm16092	predict_gene	mice
Gm16094	predict_gene	mice
Gm10552	predict_gene	mice
Gm17017	predict_gene	mice
Gm28884	predict_gene	mice
Gm28100	predict_gene	mice
Gm21972	predict_gene	mice
Gm16341	predict_gene	mice
Gm28626	predict_gene	mice
Gm28375	predict_gene	mice
Gm29371	predict_gene	mice
Gm29374	predict_gene	mice
Gm19582	predict_gene	mice
Gm29538	predict_gene	mice
Gm28888	predict_gene	mice
Gm19589	predict_gene	mice
Gm29336	predict_gene	mice
Gm29337	predict_gene	mice
Gm28342	predict_gene	mice
Gm28721	predict_gene	mice
Gm28723	predict_gene	mice
Gm28722	predict_gene	mice
Gm9991	predict_gene	mice
Gm28199	predict_gene	mice
Gm26683	predict_gene	mice
Gm17090	predict_gene	mice
Gm28382	predict_gene	mice
Gm28380	predict_gene	mice
Gm29100	predict_gene	mice
Gm26720	predict_gene	mice
Gm29099	predict_gene	mice
Gm28479	predict_gene	mice
Gm29483	predict_gene	mice
Gm29482	predict_gene	mice
Gm29481	predict_gene	mice
Gm29480	predict_gene	mice
Gm28086	predict_gene	mice
Gm28535	predict_gene	mice
Gm28536	predict_gene	mice
Gm10550	predict_gene	mice
Gm9994	predict_gene	mice
Gm6086	predict_gene	mice
Gm29601	predict_gene	mice
Gm28901	predict_gene	mice
Gm29461	predict_gene	mice
Gm7967	predict_gene	mice
Gm20268	predict_gene	mice
Gm28187	predict_gene	mice
Gm15699	predict_gene	mice
Gm29012	predict_gene	mice
Gm17634	predict_gene	mice
Gm7160	predict_gene	mice
Gm20753	predict_gene	mice
Gm15391	predict_gene	mice
Gm15389	predict_gene	mice
Gm29088	predict_gene	mice
Gm28189	predict_gene	mice
Gm19965	predict_gene	mice
Gm28363	predict_gene	mice
Gm28360	predict_gene	mice
Gm28168	predict_gene	mice
Gm7145	predict_gene	mice
Gm29106	predict_gene	mice
Gm28867	predict_gene	mice
Gm26831	predict_gene	mice
Gm29456	predict_gene	mice
Gm29455	predict_gene	mice
Gm27184	predict_gene	mice
Gm28209	predict_gene	mice
Gm29346	predict_gene	mice
Gm29345	predict_gene	mice
Gm29348	predict_gene	mice
Gm29347	predict_gene	mice
Gm29359	predict_gene	mice
Gm15392	predict_gene	mice
Gm28590	predict_gene	mice
Gm28928	predict_gene	mice
Gm28706	predict_gene	mice
Gm28800	predict_gene	mice
Gm26686	predict_gene	mice
Gm16081	predict_gene	mice
Gm15674	predict_gene	mice
Gm15675	predict_gene	mice
Gm16083	predict_gene	mice
Gm29427	predict_gene	mice
Gm28857	predict_gene	mice
Gm28856	predict_gene	mice
Gm15848	predict_gene	mice
Gm28914	predict_gene	mice
Gm28913	predict_gene	mice
Gm26892	predict_gene	mice
Gm29629	predict_gene	mice
Gm10188	predict_gene	mice
Gm29630	predict_gene	mice
Gm15849	predict_gene	mice
Gm10538	predict_gene	mice
Gm28609	predict_gene	mice
Gm19461	predict_gene	mice
Gm28040	predict_gene	mice
Gm26706	predict_gene	mice
Gm38394	predict_gene	mice
Gm28441	predict_gene	mice
Gm15851	predict_gene	mice
Gm1627	predict_gene	mice
Gm26783	predict_gene	mice
Gm28892	predict_gene	mice
Gm10535	predict_gene	mice
Gm15445	predict_gene	mice
Gm26642	predict_gene	mice
Gm4793	predict_gene	mice
Gm38399	predict_gene	mice
Gm37759	predict_gene	mice
Gm26568	predict_gene	mice
Gm37552	predict_gene	mice
Gm26781	predict_gene	mice
Gm37799	predict_gene	mice
Gm33994	predict_gene	mice
Gm19705	predict_gene	mice
Gm26979	predict_gene	mice
Gm26936	predict_gene	mice
Gm28556	predict_gene	mice
Gm28501	predict_gene	mice
Gm5833	predict_gene	mice
Gm34816	predict_gene	mice
Gm4788	predict_gene	mice
Gm29514	predict_gene	mice
Gm15584	predict_gene	mice
Gm29515	predict_gene	mice
Gm29020	predict_gene	mice
Gm29398	predict_gene	mice
Gm20631	predict_gene	mice
Gm29188	predict_gene	mice
Gm10138	predict_gene	mice
Gm28181	predict_gene	mice
Gm28610	predict_gene	mice
Gm28960	predict_gene	mice
Gm29529	predict_gene	mice
Gm28513	predict_gene	mice
Gm29290	predict_gene	mice
Gm29291	predict_gene	mice
Gm28286	predict_gene	mice
Gm29282	predict_gene	mice
Gm9530	predict_gene	mice
Gm37622	predict_gene	mice
Gm5532	predict_gene	mice
Gm37571	predict_gene	mice
Gm2000	predict_gene	mice
Gm10031	predict_gene	mice
Gm28694	predict_gene	mice
Gm15486	predict_gene	mice
Gm37679	predict_gene	mice
Gm38039	predict_gene	mice
Gm37294	predict_gene	mice
Gm36975	predict_gene	mice
Gm37083	predict_gene	mice
Gm38060	predict_gene	mice
Gm37362	predict_gene	mice
Gm37634	predict_gene	mice
Gm31925	predict_gene	mice
Gm38304	predict_gene	mice
Gm37273	predict_gene	mice
Gm20471	predict_gene	mice
Gm26523	predict_gene	mice
Gm29500	predict_gene	mice
Gm16587	predict_gene	mice
Gm16548	predict_gene	mice
Gm32391	predict_gene	mice
Gm26685	predict_gene	mice
Gm37754	predict_gene	mice
Gm37853	predict_gene	mice
Gm37184	predict_gene	mice
Gm36945	predict_gene	mice
Gm32569	predict_gene	mice
Gm38325	predict_gene	mice
Gm37073	predict_gene	mice
Gm36972	predict_gene	mice
Gm37469	predict_gene	mice
Gm26665	predict_gene	mice
Gm37923	predict_gene	mice
Gm15853	predict_gene	mice
Gm15853-1	predict_gene	mice
Gm4846	predict_gene	mice
Gm4847	predict_gene	mice
Gm16701	predict_gene	mice
Gm16701-1	predict_gene	mice
Gm37982	predict_gene	mice
Gm2453	predict_gene	mice
Gm20711	predict_gene	mice
Gm37839	predict_gene	mice
Gm37748	predict_gene	mice
Gm37502	predict_gene	mice
Gm7694	predict_gene	mice
Gm26620	predict_gene	mice
Gm38204	predict_gene	mice
Gm10522	predict_gene	mice
Gm20045	predict_gene	mice
Gm26641	predict_gene	mice
Gm37787	predict_gene	mice
Gm10521	predict_gene	mice
Gm37065	predict_gene	mice
Gm37756	predict_gene	mice
Gm17224	predict_gene	mice
Gm37950	predict_gene	mice
Gm36937	predict_gene	mice
Gm4955	predict_gene	mice
Gm36307	predict_gene	mice
Gm38100	predict_gene	mice
Gm38101	predict_gene	mice
Gm36536	predict_gene	mice
Gm36992	predict_gene	mice
Gm15423	predict_gene	mice
Gm26801	predict_gene	mice
Gm37306	predict_gene	mice
Gm37280	predict_gene	mice
Gm16432	predict_gene	mice
Gm16586	predict_gene	mice
Gm28062	predict_gene	mice
Gm16564	predict_gene	mice
Gm1305	predict_gene	mice
Gm10518	predict_gene	mice
Gm37336	predict_gene	mice
Gm31728	predict_gene	mice
Gm37267	predict_gene	mice
Gm37768	predict_gene	mice
Gm38293	predict_gene	mice
Gm17275	predict_gene	mice
Gm37406	predict_gene	mice
Gm5533	predict_gene	mice
Gm37885	predict_gene	mice
Gm37218	predict_gene	mice
Gm38079	predict_gene	mice
Gm37986	predict_gene	mice
Gm33973	predict_gene	mice
Gm34068	predict_gene	mice
Gm38108	predict_gene	mice
Gm37223	predict_gene	mice
Gm37712	predict_gene	mice
Gm37800	predict_gene	mice
Gm34342	predict_gene	mice
Gm38251	predict_gene	mice
Gm34732	predict_gene	mice
Gm37662	predict_gene	mice
Gm34882	predict_gene	mice
Gm2061	predict_gene	mice
Gm38093	predict_gene	mice
Gm37134	predict_gene	mice
Gm29491	predict_gene	mice
Gm37912	predict_gene	mice
Gm38155	predict_gene	mice
Gm37896	predict_gene	mice
Gm36388	predict_gene	mice
Gm38064	predict_gene	mice
Gm26574	predict_gene	mice
Gm37422	predict_gene	mice
Gm28172	predict_gene	mice
Gm29678	predict_gene	mice
Gm30725	predict_gene	mice
Gm30932	predict_gene	mice
Gm31373	predict_gene	mice
Gm38188	predict_gene	mice
Gm38161	predict_gene	mice
Gm37168	predict_gene	mice
Gm32200	predict_gene	mice
Gm37432	predict_gene	mice
Gm38037	predict_gene	mice
Gm26670	predict_gene	mice
Gm26879	predict_gene	mice
Gm10516	predict_gene	mice
Gm15867	predict_gene	mice
Gm31406	predict_gene	mice
Gm15872	predict_gene	mice
Gm37650	predict_gene	mice
Gm16897	predict_gene	mice
Gm32250	predict_gene	mice
Gm37027	predict_gene	mice
Gm13184	predict_gene	mice
Gm13185	predict_gene	mice
Gm13180	predict_gene	mice
Gm13191	predict_gene	mice
Gm13189	predict_gene	mice
Gm13175	predict_gene	mice
Gm13179	predict_gene	mice
Gm26776	predict_gene	mice
Gm13199	predict_gene	mice
Gm13267	predict_gene	mice
Gm10857	predict_gene	mice
Gm13383	predict_gene	mice
Gm13388	predict_gene	mice
Gm13391	predict_gene	mice
Gm13389	predict_gene	mice
Gm26565	predict_gene	mice
Gm28641	predict_gene	mice
Gm13211	predict_gene	mice
Gm13219	predict_gene	mice
Gm13218	predict_gene	mice
Gm13256	predict_gene	mice
Gm13262	predict_gene	mice
Gm13264	predict_gene	mice
Gm38171	predict_gene	mice
Gm13293	predict_gene	mice
Gm13291	predict_gene	mice
Gm10851	predict_gene	mice
Gm17490	predict_gene	mice
Gm37565	predict_gene	mice
Gm37126	predict_gene	mice
Gm10848	predict_gene	mice
Gm13269	predict_gene	mice
Gm13322	predict_gene	mice
Gm13324	predict_gene	mice
Gm13330	predict_gene	mice
Gm13344	predict_gene	mice
Gm13348	predict_gene	mice
Gm13346	predict_gene	mice
Gm17171	predict_gene	mice
Gm13335	predict_gene	mice
Gm13362	predict_gene	mice
Gm13375	predict_gene	mice
Gm13376	predict_gene	mice
Gm13327	predict_gene	mice
Gm13411	predict_gene	mice
Gm13417	predict_gene	mice
Gm13387	predict_gene	mice
Gm38287	predict_gene	mice
Gm996	predict_gene	mice
Gm26702	predict_gene	mice
Gm13539	predict_gene	mice
Gm13554	predict_gene	mice
Gm13553	predict_gene	mice
Gm27196	predict_gene	mice
Gm13563	predict_gene	mice
Gm20532	predict_gene	mice
Gm13398	predict_gene	mice
Gm13371	predict_gene	mice
Gm13373	predict_gene	mice
Gm10134	predict_gene	mice
Gm13381	predict_gene	mice
Gm13393	predict_gene	mice
Gm13402	predict_gene	mice
Gm13420	predict_gene	mice
Gm13547	predict_gene	mice
Gm28035	predict_gene	mice
Gm28038	predict_gene	mice
Gm16323	predict_gene	mice
Gm14487	predict_gene	mice
Gm14486	predict_gene	mice
Gm13405	predict_gene	mice
Gm13425	predict_gene	mice
Gm13427	predict_gene	mice
Gm13441	predict_gene	mice
Gm13442	predict_gene	mice
Gm13609	predict_gene	mice
Gm13610	predict_gene	mice
Gm13412	predict_gene	mice
Gm13524	predict_gene	mice
Gm13523	predict_gene	mice
Gm13528	predict_gene	mice
Gm13536	predict_gene	mice
Gm13530	predict_gene	mice
Gm13403	predict_gene	mice
Gm13404	predict_gene	mice
Gm38389	predict_gene	mice
Gm13449	predict_gene	mice
Gm13605	predict_gene	mice
Gm35202	predict_gene	mice
Gm13431	predict_gene	mice
Gm13434	predict_gene	mice
Gm13556	predict_gene	mice
Gm27197	predict_gene	mice
Gm13584	predict_gene	mice
Gm13589	predict_gene	mice
Gm13496	predict_gene	mice
Gm28643	predict_gene	mice
Gm13479	predict_gene	mice
Gm13465	predict_gene	mice
Gm13467	predict_gene	mice
Gm13470	predict_gene	mice
Gm13481	predict_gene	mice
Gm13480	predict_gene	mice
Gm13485	predict_gene	mice
Gm28639	predict_gene	mice
Gm13497	predict_gene	mice
Gm13499	predict_gene	mice
Gm13490	predict_gene	mice
Gm13522	predict_gene	mice
Gm26603	predict_gene	mice
Gm14033	predict_gene	mice
Gm26794	predict_gene	mice
Gm13546	predict_gene	mice
Gm13544	predict_gene	mice
Gm17409	predict_gene	mice
Gm11099	predict_gene	mice
Gm13572	predict_gene	mice
Gm13620	predict_gene	mice
Gm13571	predict_gene	mice
Gm13580	predict_gene	mice
Gm13583	predict_gene	mice
Gm13582	predict_gene	mice
Gm13561	predict_gene	mice
Gm13565	predict_gene	mice
Gm13564	predict_gene	mice
Gm13569	predict_gene	mice
Gm13575	predict_gene	mice
Gm13594	predict_gene	mice
Gm13595	predict_gene	mice
Gm13619	predict_gene	mice
Gm13617	predict_gene	mice
Gm28638	predict_gene	mice
Gm13618	predict_gene	mice
Gm13629	predict_gene	mice
Gm13598	predict_gene	mice
Gm1322	predict_gene	mice
Gm13599	predict_gene	mice
Gm21830	predict_gene	mice
Gm26727	predict_gene	mice
Gm13601	predict_gene	mice
Gm26743	predict_gene	mice
Gm13596	predict_gene	mice
Gm13613	predict_gene	mice
Gm26558	predict_gene	mice
Gm13632	predict_gene	mice
Gm13647	predict_gene	mice
Gm17250	predict_gene	mice
Gm13746	predict_gene	mice
Gm11084	predict_gene	mice
Gm13703	predict_gene	mice
Gm13709	predict_gene	mice
Gm13707	predict_gene	mice
Gm13708	predict_gene	mice
Gm10822	predict_gene	mice
Gm28640	predict_gene	mice
Gm13667	predict_gene	mice
Gm14396	predict_gene	mice
Gm28793	predict_gene	mice
Gm28230	predict_gene	mice
Gm14424	predict_gene	mice
Gm14426	predict_gene	mice
Gm13652	predict_gene	mice
Gm13658	predict_gene	mice
Gm13660	predict_gene	mice
Gm13656	predict_gene	mice
Gm13938	predict_gene	mice
Gm13943	predict_gene	mice
Gm13944	predict_gene	mice
Gm13661	predict_gene	mice
Gm14461	predict_gene	mice
Gm26755	predict_gene	mice
Gm13752	predict_gene	mice
Gm28675	predict_gene	mice
Gm13686	predict_gene	mice
Gm13698	predict_gene	mice
Gm13693	predict_gene	mice
Gm13695	predict_gene	mice
Gm13696	predict_gene	mice
Gm13694	predict_gene	mice
Gm13697	predict_gene	mice
Gm13691	predict_gene	mice
Gm13710	predict_gene	mice
Gm28635	predict_gene	mice
Gm19426	predict_gene	mice
Gm13713	predict_gene	mice
Gm13716	predict_gene	mice
Gm13715	predict_gene	mice
Gm13741	predict_gene	mice
Gm13757	predict_gene	mice
Gm13763	predict_gene	mice
Gm13762	predict_gene	mice
Gm13769	predict_gene	mice
Gm17281	predict_gene	mice
Gm9821	predict_gene	mice
Gm13780	predict_gene	mice
Gm13814	predict_gene	mice
Gm13817	predict_gene	mice
Gm13816	predict_gene	mice
Gm13802	predict_gene	mice
Gm13807	predict_gene	mice
Gm10804	predict_gene	mice
Gm10803	predict_gene	mice
Gm13889	predict_gene	mice
Gm27027	predict_gene	mice
Gm13793	predict_gene	mice
Gm13794	predict_gene	mice
Gm13799	predict_gene	mice
Gm10801	predict_gene	mice
Gm10800	predict_gene	mice
Gm29235	predict_gene	mice
Gm13905	predict_gene	mice
Gm13919	predict_gene	mice
Gm13920	predict_gene	mice
Gm13872	predict_gene	mice
Gm13874	predict_gene	mice
Gm13869	predict_gene	mice
Gm13881	predict_gene	mice
Gm10912	predict_gene	mice
Gm10799	predict_gene	mice
Gm13883	predict_gene	mice
Gm11060	predict_gene	mice
Gm13954	predict_gene	mice
Gm29053	predict_gene	mice
Gm14015	predict_gene	mice
Gm14014	predict_gene	mice
Gm13912	predict_gene	mice
Gm13923	predict_gene	mice
Gm13936	predict_gene	mice
Gm13942	predict_gene	mice
Gm13941	predict_gene	mice
Gm15130	predict_gene	mice
Gm13962	predict_gene	mice
Gm21985	predict_gene	mice
Gm13963	predict_gene	mice
Gm13966	predict_gene	mice
Gm13964	predict_gene	mice
Gm29234	predict_gene	mice
Gm13974	predict_gene	mice
Gm28494	predict_gene	mice
Gm28493	predict_gene	mice
Gm13976	predict_gene	mice
Gm13977	predict_gene	mice
Gm13990	predict_gene	mice
Gm29340	predict_gene	mice
Gm13982	predict_gene	mice
Gm28183	predict_gene	mice
Gm13985	predict_gene	mice
Gm29233	predict_gene	mice
Gm14091	predict_gene	mice
Gm14089	predict_gene	mice
Gm14137	predict_gene	mice
Gm13999	predict_gene	mice
Gm28042	predict_gene	mice
Gm26899	predict_gene	mice
Gm14978	predict_gene	mice
Gm14019	predict_gene	mice
Gm14085	predict_gene	mice
Gm13994	predict_gene	mice
Gm14002	predict_gene	mice
Gm14003	predict_gene	mice
Gm9913	predict_gene	mice
Gm17555	predict_gene	mice
Gm26697	predict_gene	mice
Gm27003	predict_gene	mice
Gm14244	predict_gene	mice
Gm14009	predict_gene	mice
Gm14012	predict_gene	mice
Gm14010	predict_gene	mice
Gm29010	predict_gene	mice
Gm14011	predict_gene	mice
Gm10762	predict_gene	mice
Gm14025	predict_gene	mice
Gm14029	predict_gene	mice
Gm14024	predict_gene	mice
Gm14041	predict_gene	mice
Gm28196	predict_gene	mice
Gm28372	predict_gene	mice
Gm11037	predict_gene	mice
Gm14232	predict_gene	mice
Gm14285	predict_gene	mice
Gm14280	predict_gene	mice
Gm28045	predict_gene	mice
Gm14051	predict_gene	mice
Gm14095	predict_gene	mice
Gm14097	predict_gene	mice
Gm14104	predict_gene	mice
Gm14102	predict_gene	mice
Gm14100	predict_gene	mice
Gm14211	predict_gene	mice
Gm14210	predict_gene	mice
Gm14218	predict_gene	mice
Gm28214	predict_gene	mice
Gm14055	predict_gene	mice
Gm14064	predict_gene	mice
Gm14062	predict_gene	mice
Gm14061	predict_gene	mice
Gm17374	predict_gene	mice
Gm5535	predict_gene	mice
Gm561	predict_gene	mice
Gm14092	predict_gene	mice
Gm14114	predict_gene	mice
Gm14110	predict_gene	mice
Gm14120	predict_gene	mice
Gm1330	predict_gene	mice
Gm10750	predict_gene	mice
Gm14135	predict_gene	mice
Gm14133	predict_gene	mice
Gm10770	predict_gene	mice
Gm14139	predict_gene	mice
Gm21994	predict_gene	mice
Gm14124	predict_gene	mice
Gm10130	predict_gene	mice
Gm28450	predict_gene	mice
Gm26681	predict_gene	mice
Gm14151	predict_gene	mice
Gm14147	predict_gene	mice
Gm14145	predict_gene	mice
Gm14149	predict_gene	mice
Gm14144	predict_gene	mice
Gm14152	predict_gene	mice
Gm14146	predict_gene	mice
Gm14167	predict_gene	mice
Gm14155	predict_gene	mice
Gm14154	predict_gene	mice
Gm14161	predict_gene	mice
Gm17416	predict_gene	mice
Gm26841	predict_gene	mice
Gm14199	predict_gene	mice
Gm14198	predict_gene	mice
Gm14216	predict_gene	mice
Gm14214	predict_gene	mice
Gm14226	predict_gene	mice
Gm14257	predict_gene	mice
Gm17581	predict_gene	mice
Gm16098	predict_gene	mice
Gm15557	predict_gene	mice
Gm28036	predict_gene	mice
Gm14252	predict_gene	mice
Gm14170	predict_gene	mice
Gm14225	predict_gene	mice
Gm14224	predict_gene	mice
Gm14168	predict_gene	mice
Gm14174	predict_gene	mice
Gm14230	predict_gene	mice
Gm14286	predict_gene	mice
Gm23925	predict_gene	mice
Gm14205	predict_gene	mice
Gm14223	predict_gene	mice
Gm826	predict_gene	mice
Gm14221	predict_gene	mice
Gm27206	predict_gene	mice
Gm16751	predict_gene	mice
Gm14228	predict_gene	mice
Gm14243	predict_gene	mice
Gm14242	predict_gene	mice
Gm14241	predict_gene	mice
Gm14246	predict_gene	mice
Gm14255	predict_gene	mice
Gm11454	predict_gene	mice
Gm14254	predict_gene	mice
Gm16316	predict_gene	mice
Gm11455	predict_gene	mice
Gm14302	predict_gene	mice
Gm20458	predict_gene	mice
Gm14317	predict_gene	mice
Gm11457	predict_gene	mice
Gm14397	predict_gene	mice
Gm14437	predict_gene	mice
Gm28163	predict_gene	mice
Gm11465	predict_gene	mice
Gm11464	predict_gene	mice
Gm11466	predict_gene	mice
Gm11467	predict_gene	mice
Gm11468	predict_gene	mice
Gm14268	predict_gene	mice
Gm14267	predict_gene	mice
Gm17096	predict_gene	mice
Gm14291	predict_gene	mice
Gm20431	predict_gene	mice
Gm14320	predict_gene	mice
Gm14321	predict_gene	mice
Gm14319	predict_gene	mice
Gm14236	predict_gene	mice
